,Sentiment,Text
9394,positive,americanair shout out to diane at eyw for helping get us home today instead of tomorrow even if a little late flight
9395,positive,made it just huge relief thanks for your help
9396,negative,how about now getting us the rest of our bags please we only received 2 of 5 can you help with that
9397,negative,im trying to get my dads wheelchair and no one is answering at dulles we have tried to call back on multiple times
9398,neutral,it s 838 we boarded and we are waiting now to take off hopefully
9399,positive,thanks i hope so maybe you can put in a good word for me
9400,negative,us 728 feb 21 arrive 7 hrs late flight checked car seat missing no replacement available has yet to arrive more than 24 hours late flightr
9401,negative,you guys lost my luggage
9402,negative,us 728 feb 21 kim y says leaving on 15 minutes once paperwork is done wheels up 1 5 hours late flightr
9403,negative,us 728 feb 21 hour 6 on plane when us airways representative kim y enters deteriorating picture unhelpful with no assurances
9404,negative,marvinatorsb thnk you for response all flights were full couldn t get out until tmrw had to cancelled flight and go w other airline
9405,negative,us 728 feb 21 ground power shorts again for the third time weary german passenger deplanes makes me jealous auf wiedersehen
9406,neutral,us 728 refuel we ve sat for so long pilot announces where the truck is look over there to the left actual announcement
9407,negative,thanks but the bags are only 10 of what went wrong 22 hours from dca to san when there were no weather issues is not acceptable
9408,neutral,americanair trying to chg ticket for staff member leaving org before she can fly we re a nonprofit can t you make an exception
9409,negative,how can i speak to a human need 2 find bag delayed 2 21 website and 800 are telling me 2 different things got hung up on 2x
9410,negative,us 728 one water run of the planet s smallest water bottles applaud you looking out for the environment
9411,negative,us 728 nope not getting off 3 hours in the plane 4 pilot announcements one water run of the planet s smallest water bottles
9412,neutral,us 728 wait now a gate opened back we go good maybe we can get off
9413,negative,us 728 uh oh no gate now truck will come to us
9414,negative,us 728 returned to gate to get mel sticker oh look we heard from pilot no clue what an mel sticker is anyone
9415,negative,i spent an hour on the phone with them and got no where at all
9416,negative,us 728 then lost ground power three different times not only grounded endlessly now without air lights entertainment
9417,negative,us 728 pilot started the flight by announcing arrival into gatwick not heathrow moments of concern for all aboard
9418,negative,us 728 stated their issues as no one around to close said door more strange now we re not hearing from pilot for long periods
9419,negative,seat 8d on flight 545 last night is the worst seat i ve ever been in no leg room dividendsmember
9420,negative,one of your workers was very rude with us we can tell you in dm cuz it won t be any good publicity
9421,negative,us 728 stated their issues as plane not moving as cargo door open on plane umm ok a little strange
9422,negative,my flight is delayed so i missed my connecting flight stuck in philadelphia over night and no hotel voucher thanks for nothing
9423,neutral,us 728 stated their issues as kept plane on ground to allow connecting passengers from other flight to board fine understand
9424,negative,can i speak to a human with some compassion i wrote an email to discuss my experience and received a generic sorry email back
9425,negative,take a look at 1715 all f seats filled so someone upgraded their friend instead of following rules
9426,negative,back in line at terminal because phone guy couldn t help one person in front of me 20 min wait again
9427,negative,so you understand why i m resorting to twitter no help available at gate while this occurred or by phone afterward
9428,negative,going to miss my connection due to another tarmac delay on us5268 then 4050 need a flight home today please
9429,negative,i m expecting 400 reimbursement for the unprofessional decisions with us728 on 21 feb check your very full complaint box
9430,negative,what s the deal with flight 5268 from dca to phl we boarded on time left the gate a few mins late flight and are now sat on tarmac
9431,negative,stranding a student trying to get to birmingham in clt overnight w o any help you can do better than that av duffy
9432,negative,really need help asap so please make it quick thx
9433,negative,well that is not going to help i vebeen on hold over 3 hrs amp my client wants his ff nbr in the record he s elite waa
9434,negative,hi you lost my father s wheelchair every time we call we just get voicemail my dad needs it to go home please dm me
9435,negative,4 segments 4 4 delayed gnv gt ctl ctl gt jan jan gt ctl ctl gt gnv my year off from flying with you guys was the way to go
9436,negative,is charging me 200 to not take my flight lol that is the last time i fly with them
9437,negative,yes it says bag is being delivered the local number says not open asked main for cust service got hung up on
9438,negative,row 16 flight 634 today if you re looking for specifics i can run to home depot for the wd40 you if you need
9439,negative,seriously buy some wd40 for a319 operating flight 634 from geg to phoenix every seat squeaks w every shift still on ground
9440,negative,i would happily wait in the terminal near food restrooms and non irritated passengers
9441,negative,why let passengers on board when there was an issue over an hour amp the pilot doesn t know when we ll leave
9442,negative,anyone there to help still on hold
9443,negative,oh yay now gate agents decide not to deal with upgrade list and just bump up whoever is closest
9444,negative,site shows on time but flightaware site shows delayed trying to decide if i get out in this ice to catch flt 456 to phx
9445,negative,is the absolute worst airline 13 women were inconvenienced due to maintenance issues stuck all over no care given
9446,negative,flights amp customer relations are extremely disappointing faced too many problems to type apology 25 towards a flight a joke
9447,negative,sitting here in phl with all of your rude customer service agents
9448,negative,americanair can flight 415 get the paperwork inputted we should have taken off an hour sittingontheplane hungry
9449,negative,now on hold with customer care wonder if someone will pick up the phone before 5pm
9450,negative,when will flt 445 get a gate at den over 20 minutes waiting with no information
9451,negative,lots of fun to be removed from top of a list and manually readded to the bottom thanks to club agents thanks a lot asha at dca
9452,negative,your delayed flight out of wilmington made me miss my flight out of charlotte figure out how to take off and arrive on time
9453,positive,wow unbelievable how you treat your customers at puerto rico airport
9454,negative,usually sorry doesn t involve moving people to middle seats and removing them from upgrade lists guess that s a club perk
9455,negative,don t worry used own initiative and arriving much earlier than you planned for me
9456,negative,nice try at the gate making traveler after traveler put bags in the size guide because you oversold sorry minefits
9457,negative,horrible service wrong plane arrived many confirmed passengers could not get on flight we paid for due to lack of seats flight
9458,neutral,trying to book award travel leaving on red eye sunday night after midnight should i book the date in sunday or monday
9459,negative,booked flight 1mnth ago seat confirmed small plane arrived and was not allowed to board bcs no seat horrible service
9460,negative,very frustrated checked bag in logan was not given a luggage ticket now luggage is lost amp no ownership from usairways
9461,positive,they were breathing very heavily but were super helpful thank you
9462,negative,aye and nothing to do with an automated system which doesn t work properly anyway got through to somebody
9463,positive,okay great thank you
9464,negative,now my rebooked connection is delayed
9465,negative,i am in meetings in california and have no luggage
9466,negative,and the number your agent gave me to call says you are not open and the main number goes to a computer saying it is delivered
9467,negative,any way to get your call center to answer for a oneworld award whenever try system says too busy and disconnect or endless hold
9468,negative,why did you put my luggage on the plane after mine then not deliver it to me like you said now show the claim as closed online
9469,negative,takes my money at once but then requires 7 to 10 days to process a refund why does your auto attendant hang up usairwaysfail
9470,negative,how long for a reply
9471,neutral,bag policy says stroller or car seat we need to bring 2 car seats and 1 stroller should i just call for details
9472,positive,it was customer service like i have never seen before kudos to your organization
9473,negative,who intentionally buys a flight with a 10 hour layover and what kind of airline would charge 200 to fix it wow usairways
9474,negative,how do i get a hold of customer service i ve called multiple times amp have been on hold for 30 mins only to have to hang up
9475,negative,is there a or a time bracket i can call to fix this problem i ve been attempting to fix this contact information issue for days
9476,negative,i called the number and they said no one is available to take my call guys this is insane
9477,negative,usairways can t book a flight online or over the phone your customer service is usually great anything you can do to help
9478,negative,americanair was the worst experience i ve ever had flying rude delays cancelled flightlations lack of updates and wasting our time
9479,neutral,contact via fb messages twitter dm or text
9480,negative,called 3x amp it says high call volumes call back at 1 a minute for international calls is there any way someone can contact me
9481,negative,jhughes1025 grrrrrrrr couldn t book a flight via calling either
9482,negative,delayed connection missed now extended layover how about a lounge pass for phl 5077
9483,negative,another twist in the plot took off from miami then had to return due to a unsecured cargo door most stressful vacation ever
9485,neutral,great operation you guys are running more mechanical issues and now taping piece of plane together lol
9486,neutral,thanks any idea when it will be resolved i d like to purchase my ticket
9487,neutral,hi can you attach my aa ff 94lxa62 to reservation e2kvm4 thansk
9488,negative,when i check online it states status closed what does this mean as i have yet been able to reach a live person
9489,negative,your system is affected by the weather
9490,positive,we called and were able to get rescheduled thank you for the quick responses today
9491,negative,how do you get your aa frequent flyer number to appear in a usair reservation frustrating
9492,negative,i m unable to check in for flight 2119 bos dca and haven t heard if flight was cancelled flighted rescheduled any updates
9493,negative,americanair don t forget without your customers you would be out of business epicfail usairwaysfail
9494,neutral,hi guys are flights 5594 and 3937 still on time the site and app are both down and i can t check thanks
9495,negative,americanair hey since you f ed my wknd can i have day pass to admirals club or meal coupon or free coke blank stare
9496,negative,you make the reservation we ll make the excuses usairwaysfail
9497,negative,i listed my baggage claim number have them call me my number is on the ticket i had to use lady speed stick this morning
9498,negative,another dead end they only handle aa l amp f they gave me the same failed i already had 610 362 7498 99 vm full lost
9499,negative,houston gate 17 customer service needs to treat people with respect there are hardly people waiting chillpill usairwaysfail
9500,positive,over the phone i called the 6170 number and she picked up almost immediately
9501,neutral,hutchinsjim yes i made the flight and got my workout in too
9502,positive,603 amp 2705 dfw to psp thank you
9503,positive,1899 thanks
9504,negative,what s going on with your website amp mobile app help
9505,negative,we have submitted the customer relations form and await your response
9506,negative,that is the height of rudeness and without question the worst customer service i have ever experienced
9507,negative,i need to speak to somebody about a reservation as in talk to a human being yet your computer system puts the phone down on
9508,neutral,will you pick up your phone then
9509,negative,premier provider of missed connections usairwaysfail
9510,negative,i m sure the people are working very hard but the systems should assist with ivr prompting offering call backs hold wait times
9511,negative,thanks for a subpar travel experience and it s not even over yet stepitup
9512,positive,fyi your customer service rep carol is an absolute delight so pleasant to with with and rebooked me in lightning speed thanks
9513,negative,is struggling had me on hold for 25 minutes kicked me back to the start then said they couldnt handle the amount of calls
9514,negative,no you call me
9515,negative,they told me to call back late flightr
9516,negative,i will be cancelled flighting my us airways credit card and choosing other airlines after my experience this week
9517,neutral,thank you but it says the website is down
9518,negative,i cant make it to airport roads are to bad in dfw and no one is answering the phones and the website is down how do i reschedule
9519,negative,pilot pleads to let boarding begin for full flight 1937 while waiting for 4th flight attendant denied by mission control grrrr
9520,negative,website isnt working and i cant talk to any1 on the phone to check flight status out of dfw roads are awful and cant get there
9521,negative,rebooked for tuesday arriving too late flight for on tuesday to start the class cancelled flightled the trip
9522,negative,if my flight is going to be cancelled flightled every week i might as well be in business class
9523,negative,2102 dca bos cancelled flightled after making us wait over an hour if i fly usair every week can you upgrade my status proactively
9524,positive,dominick l at la guardia airport nyc gives the absolute best customer service thanku checking in made easy
9525,negative,congrats on treating your customers the worst way possible i know plenty of other ppl who have had horrible experience w you too
9526,negative,going to manchester uk now i m going to miss a wedding you going to rebook that too why have you chosen to cancelled flight my flight
9527,negative,if you dm me we can take this offline would love more info on location of lost bags any help is appreciated
9528,negative,thanx but this isn t my first rodeo done amp done yesterday no results or comm unless u count status bags lost amp claim filed
9529,negative,acnewsguy can you give me a for us air in philly to talk to a real person acarl4
9530,negative,would have been nice to be offered in flight credit especially since i m staring at empty overhead room
9531,negative,or how about power outlets at your seat if you re gonna keep us siting here forever
9532,negative,i would appreciate a call regarding a horrible experience i had with a gate agent was on hold for 39 min and then hung on me
9533,neutral,i understand that and when i m attempting to change the information so they are identical it tells me to call a
9534,negative,what is going on with flight 1826 from phl to phx 10 mins to estimated departure nobody has board and no update
9535,negative,but my bag is still missing
9536,negative,seriously doubt that as i am still sitting inside at the gate
9537,negative,customer service is dead last wk flts delayed cancelled flighted bags lost 4 days last nt flt delayed cancelled flighted no meal voucher
9538,negative,flight us1562 from ric2dfw was cancelled flightled yesterday amp i was on hold w cust service from 6 10pm est 4 hours no answer
9539,neutral,americanair taking off now if i don t have a private jet to bora bora by the time i land i m calling oprah
9540,negative,americanair call the number listed sure by next friday i should get a real live person on the line
9541,negative,thanks for cancelled flighting flight 5097 today now missing required training not a happy customer
9542,negative,strike three you guys suck
9543,negative,2 days in a row not buying it i suggest you review your policy w respect to unaccompanied minors should have had a seat on sun
9544,negative,americanair ok the app doesn t seem to be working just use the mobile site
9545,negative,wife and i flew to italy recently bought tickets via finnair flights operated by usair didn t get dividend miles credited
9546,negative,8 hour delay pho mia your airline is bad and getting worse foolish for american to merge you treat your customers like crap
9547,negative,americanair 28 hours late flightr still no email work supervisor needs documentation to approve last minute vacation day request
9548,negative,americanair 3 hours on hold got rebooked on a new flight yesterday i asked for a new itinerary confirmation email to be sent
9549,negative,here s to sitting on hold for 4 hrs flight cancelled flighted and they disconnect twice fend4urself stranded diverted
9550,negative,cancelled flights flight tampa to philadelphia today due to runway conditions yet tonnes of usairways flights landing there today explain
9551,negative,your phone system is not working at all i have been bumped again so now i am at 3 times i need to get out of mco
9552,negative,no my flight plans have been delayed until tuesday due to your computer crash
9553,negative,4914 from phl to bgm i cannot believe this has happened 2x in under two weeks
9554,negative,americanair ma am the doors close 10 mins prior to departure but i was here 20 mins before laughter from the 2 agents
9555,negative,americanair at 9 05am after the plane left why were there no agents and why were the doors closed so early
9556,negative,i called more than 25 times to redeem mile points and can t get through you advertise the miles but make them very hard to use
9557,negative,americanair me after arriving at 8 41am for a flight scheduled to depart at 8 57am doors closed no agents
9558,negative,i need to speak with a live person i ve had it with the recordings i was told on sat that we d have our luggage by yest
9559,positive,thanks for the information
9560,neutral,americanair i need to move a reservation due to weather in the middle part of the u s i would like to change departing airport
9561,positive,couldn t be more thankful to your orf and dca crews on the ground and in the air today for help with a sick kid and a lost bag
9562,negative,thx for delayed checkin on noon flt to mia then forcing me to take late flightr flts which were delayed cincy to miami in 13 hrs fast
9563,negative,getting extremely frustrated w the phone online service for merging frequent flyer miles
9564,negative,already spent 60 mins today handling this for my minor child shame on you for treating a 15 year old girl like this
9565,neutral,americanair can someone help me with some travel issues today
9566,negative,first the pilot was late flight now it s maintenance this is exactly what happened two weeks ago unacceptable
9567,neutral,there is nothing on my usair cc at this point but the email stated i would be charged thanks for the reply
9568,negative,i will never fly us airways or american again and i will share this nightmare of a story to all the many others we know who fly
9569,negative,i have never been treated so poorly by an airline in my life as a military family we do alot of flying
9570,negative,americanair burned a lot of time and cell minutes working through this flight issue hopefully we fly home in the morning
9571,negative,you would rather a while plane get exposed to a nasty contagious virus then work wth me to get my flight changed to a late flightr date
9572,neutral,amp americanair what are your weight restrictions for carry on luggage can find measurements but not weight restrictions tia
9573,negative,i worked with you and bought my own rental car when you failed to get me to the location i paid to get to and now
9574,negative,i ve been on hold for 30 minutes and counting unacceptable
9575,negative,discovered our flight was cancelled flightled yesterday at 3 30pm americanairlnes finally notified us our flight was cancelled flighted at 0316 am
9576,negative,i am appalled my departure with you was all messed up and now on return i am supposed to fly alone with two very sick kids
9577,negative,will tweet all day until i get a live cust rep i will make sure the world knows you don t care about your customers health
9578,positive,thank you
9579,neutral,4473 she just called to say it s a runway clearing problem of all things
9580,negative,decided to be a good sport and give you guys another shot flight delayed again
9581,negative,americanair on hold for 8 hours yesterday w o speaking to an agent on hold again w 2 phones 30 mins let the bashing begin
9582,neutral,will all flights out of dfw be cancelled flightled today
9583,neutral,can you add my ktn to an existing reservation
9584,negative,please fix the very unproductive check in process at dca 20 check in stations and 2 people working them what a total mess
9585,negative,i will is it down or is just me
9586,neutral,i m supposed to fly through dallas can you help me get a new itinerary
9587,positive,your clt baggage crew deserves a kudos i had to run to make my connection and my bags still made it customerservice
9588,positive,thanks
9589,negative,you denied a mom her am flight because she needed her breast pumping parts on a full flight please fix this asap freeflight
9590,negative,i relied on us airways and that was my mistake awful customer experience
9591,negative,thank you the website crashing for me
9592,negative,on hold 2hrs after my flight was cancelled flightled amp anthony was beyond rude and not helpful americanair they re weighing you down
9593,negative,will the nightmare ever end just found out our flight today is delayed due to ground handling delays affecting a prior flight
9594,positive,is alright with me please give scott f at bdl a bonus for excellent customer service
9595,negative,when you ve got to get there we ve got excuses usairwaysfail
9596,neutral,i m referring to email like this just tell people when they get the upgrade otherwise we know already
9597,negative,first luggage got stuck in a different city now i get them back today amp one of your employees stole a pair of gloves from me
9598,neutral,i just reserved a flight with my companion certificate where do i mail the certificate for verification thx
9599,neutral,do your flight schedules to from quintana roo mexico reflect their newly adopted time zone change to est
9600,negative,sure knows how to pamper customers they strand abroad badcustomerservice fend4yourself youareonyourown
9601,neutral,maybe you should drive usairwaysfail
9602,negative,we suck and pass the savings on to us usairwaysfail
9603,neutral,thank you for the apology
9604,negative,can you help me with a refund the phone guy couldn t help the website won t let me submit a reply
9605,negative,we take late flight to a whole new level
9606,positive,usairways hegshmeg o thank you for that elaborate response
9607,negative,you guys are screwing up my trip thanks for nothing lazy
9608,neutral,is your refund system down
9609,negative,seriously this is ridiculous i shouldn t have to wait a hour for my luggage after i land wtf
9610,neutral,that s not the case they sent me a email with a link i ll show you usairways
9611,negative,why are we waiting 40 min so far for our luggage wannagohome
9612,negative,the only time i tweet is to tell you how horrible you re attendants are flight 3841 to lga i feel in jail
9613,negative,hello anyone there
9614,negative,forced sections 4 and 5 to check their carry on would have packed differently to check my bag why even allow it pissed
9615,negative,raleigh to chicago and no firstclass upgrade must be flying aa the screw usair elite after we bailed them out airline
9616,negative,flt 419 2 hrs late flight baggage 1 more hr now i see they delivered my suitcase wet inside amp out nothappy
9617,negative,then she had to get her own hotel so ur agents did nothing to help and to top it off you sent her luggage on the wrong flight
9618,negative,so she has to take a late flightr flight booked by her corporate disney travel dept as your agent offered little help
9619,negative,your computer system went down ok that is understandable but the agents make it worse by not helping her or anyone else
9620,negative,as the employee responsible for social media content yes u probably do care however the actions from last night say otherwise
9621,negative,flight gets in 30 minutes early and all goodwill gone when bags aren t here 45 minutes late flightr
9622,negative,wow awful customer service
9623,negative,merging with american will negatively affect your quality and integrity i will no longer fly with you because of it
9624,negative,how many agents do you have working to handle the thousands of calls
9625,positive,you are the best you are amazing follow me please
9626,negative,flight 435 is delayed so will miss connecting flight 457 can you please help with alternate thank you
9627,neutral,4469 thank you for asking
9628,negative,three hour wait and counting waiting for reservations on the phone are you serious
9629,positive,on a happy note our 719 crew is wonderful can t say enough great things about our pilot he s doing all he can for us
9630,negative,what a mess caused by the computer systems flight 719 in 3 hours late flight and now no gate for us est 26 min wait
9631,negative,storm or no storm your customer service is a joke 6 hour wait time to speak to someone i will never fly your airline again
9632,negative,you guys have my luggage in san jose and were supposed to deliver it to my hotel hours ago please contact me
9633,negative,i ve flown 6 figured worth of miles in my lifetime this was my first and last ever flight on us airways
9634,negative,pls get me back to tallahassee no one should ever have to be stranded in gainesville for this long
9635,negative,your a miserable airline and your loss of revenue is a reflection of that go extinct a merger only delays the inevitable
9636,negative,what was the point of the merger why not just go out of business if your not turning a profit anymore
9637,negative,i love how just to give feedback to this link i have to fill out all my personal info on a form you guys are the best
9638,negative,finally got ahold of an agent after another hour thanks for the follow up recommend a call back feature
9639,negative,is this ringling brothers barnum and bailey should i keep my eyes peeled for the clown car
9640,negative,not to mention the fact that my flight was delayed because your computers were down
9641,negative,cannot add my frequent flyer number on your website can you help
9642,negative,how do i get off my plane and wait over an hour and a half to speak to someone about reflight booking problems
9643,negative,please don t trivialize me this is a joke not a slow day or slow experience
9644,negative,and how do you only have 1 agent at phx customer service desk when an hour ago the line was over 100 people long
9645,negative,sorry doesn t help it s midnight pst how in the hell am i still on hold after 90 minutes on customer service line
9646,negative,like i thought this was america when did us airways start operating under the rules of communist russia
9647,negative,you guys should be nice and just give your routes to jet blue and southwest at least they treat their customers properly
9648,negative,but nope apparently this is the way you guys do business i guess i m flying southwest and her blue from now on
9649,negative,i keep thinking this is a massive practical joke and someone is gonna appear out of thin air and take me to reno tonight
9650,negative,there s over 50 people in line and only one agent
9651,negative,and by the way i m planning it while i ve ben waiting in the line at customer service in phx for over an hour
9652,negative,already planning my local boycott for washington d c area
9653,negative,i can legitimately say that i would have rather driven cross country than flown on us airways
9654,negative,and despite the fact i see you answering all these people on twitter with mundane qs you refuse to answer me
9655,negative,you guys are the worst airline i ve ever dealt with no notifications no keeping customers updated terrible service
9656,negative,hey guys thanks for answering me and thanks for keeping me on hold for an hour on customer service at 12 pm pst
9657,neutral,pdquigley any progress good luck patrick
9658,positive,landonschott he s fine he really likes picking his own seat
9659,negative,is the worst airline to ever travel with
9660,negative,has to be the most lazy inconsiderate and unprofessional airline that i have ever traveled
9661,negative,do you have any pride in your service any concerns for my wife and everyone else on that flight or you just don t care
9662,negative,now u horrible people say you have no where for her to sleep
9663,negative,who s in charge of your company my wife missed her connection to ca you sent her luggage on another flight
9664,negative,the call hung up on me
9665,negative,got this message on your site to call about my flight just gave up after being on hold for 3 hours
9666,negative,usairways lost a passenger today for not upholding their promise of excellent customer service
9667,negative,yet again your staff in philadelphia failed to send my luggage home with me alwayshappensthere angrytraveler
9668,negative,ok my 4th try today giving up at 12 45am after 138 minute hold time terrible
9669,negative,number or email that s the purpose of sending you a tweet usairways
9670,positive,thank you i ll do that next time
9671,negative,it still says that i can t check into my flight because the information is incorrect but everything is entered correctly
9672,negative,this says it was estimated to leave an hour ago it hasn t left yet so thanks for this useful information theworstairline
9673,negative,your customer service is horrendous between the way employees speak customers and their lack of care for problems with flights
9674,negative,had mom sit for 3 hours waiting for a flight they ultimately cancelled flighted to give her a tuesday morning flight no compensation ugh
9675,negative,does anyone from your airline know how to do their job
9676,negative,has to be the worst airline of all time
9677,negative,denied me standby bc of checked bag in cvg 5163 to phl 6 so i had to take delayed 3751 4 hrs late flightr except u lost bag in cvg
9679,positive,looks like our bag has been rescued thanks
9680,negative,i ve been trying to get through to book a reservation and the system will not let me through day 3 ridiculous
9681,negative,you are the worst
9682,negative,making folks run from gate c29 to a18 to b11 with no explanation and zero carts to transfer elderly and handicap phl
9683,negative,have been waiting in an airplane for a total of 3 hours to take off between 2 flights today this usually doesn t happen
9684,negative,not given option for new flight why can t we get a plane phl mia 20years as an eventprof this is worst travel experience ever
9685,negative,doesn t let u do stand by on flight due to checked bag causing u to get in 5 hours late flightr only to get to phl amp bag didn t make it
9686,neutral,and americanair aren t as merged as the marketing departments would have us believe maybe delta or united can get me home
9687,negative,absolutely worst experience of my life at phl 6 hrs 1 failed departure 3 gates and zero communication or help
9688,negative,americanair as soon as i call customer service to speak to a representative i am disconnected
9689,negative,americanair have been trying to call customer service since 9pm after an hour was disconnected spoke to no one
9690,negative,give us no information and an attitude
9691,neutral,looking for some help to recover an item i left on an airplane this evening
9692,negative,attendants at the gate enjoyed watching the other flight to our destination take off before having a horrible attendant give us
9693,negative,now has stranded is in miami without updating any of the departure boards and once they cancelled flightled the flight there was no
9694,negative,you are absolutely terrible at managing these delays been delayed and undelayed and delayed 6 times now 10 am office hours
9695,negative,americanair have the most rude unreliable horrible company with equally rude unreliable and horrible employees stay tuned
9696,negative,phl why does it take an hour to offload bags especially after taking 30 min to get a jetway to get off plane after landing
9697,negative,flight 703 philly gt mia bwahahaha delayed 5 hrs were in the air 30 mins then turned back around usairwaysfail
9698,negative,i m tired of paying for luggage amp less than stellar customer service americanair notafanofyourmerger
9699,negative,have you heard about the debacle at dca what is happening with our new orleans flight wewanttoknow
9700,negative,i think it s a little weak sauce you have zero inflight entertainment for a 4 hour flight from salt lake to philadelphia
9701,negative,we flew out through and into good weather when we landed another technical issue with gate improve service or lose customers
9702,negative,is stranding your customers not reflight booking problems them and then not answering the phone the way you treat platinum members
9703,negative,i made a reservation online but i didn t receive any confirmation email my bank said the transaction went through can u help
9704,negative,this is the worst flying experience of my life flight scheduled for departure at 5 44pm from phl 5 hrs late flightr guess where i am
9705,neutral,have you issued a memphis travel advisory for tomorrow winter weather coming through now
9706,negative,any update on this flight it s more than three hours delayed thank you
9707,negative,americanair you should partner w a different hotel in phl the clarion is proving to be very difficult amp not customer friendly
9708,negative,truly dissapointed when our flight is delayed and going to miss connection that we are expected to rebook our own flight
9709,negative,you kind of screwed my day up at least it was outbound but you did save it by stranding me in a renhotels marriottrewards
9710,negative,nightmare trying to get to costa rica from phl today stuck in miami and no one answers at 800 number
9711,negative,peterpiatetsky ummmm i think us air s computers  for hours my flight is 3 hours late flight
9712,negative,comedy of errors continues we can t get into our gate there is a broken down truck in the way fail
9713,negative,instructions say to call i m just doing what it said to do
9714,positive,since i am a loyal usair customer i am sure that they will make this up to me right now i want to get home amp back to work
9715,negative,the fact we did not get notified hindered our ability to look for alternate flights before they were snapped up
9716,negative,you re really fudgin up with all these delays justwantmybed
9717,negative,just discovered that they billed us 300 for the rescheduled flight which cost me a second day of lost work
9718,negative,today usair cancelled flightled our rescheduled flight amp did not notify us except possibly to our home phone not helpful since we are in co
9719,negative,and i can t get through on any phones
9720,negative,thanks for ruining my last night of vacation because i have to worry about my flight because y all don t have record of it
9721,positive,janet amp my den phl flight cancelled flightled saturday usair rescheduled automatically amp notified us by email at no additional cost
9722,negative,after 2 hrs of trying to reach real human finally did and been on hold for 1 36 hrs for out of synch reservation
9723,negative,usair idiots took our plane amp gave it to someone else fudgers flight 799 from philly to orlando
9724,negative,missed flight rude csr no flight till tuesday no answer on twitter help me out with a rt pattonoswalt you re my only hope
9725,negative,delayed 2 5 hours longbeachairport trying to get to phxskyharbor give us an update please
9726,negative,phlairport always nice when a customer service manager threatens customers standing in his understaffed lines for the last hour
9727,negative,just passed the 3 hour mark onholdwith you for this call gave up after 2 5 this morning
9728,negative,what is with your lost amp found my wife lost her phone in philly amp followed your web instructions to call an 800 no answer
9729,neutral,can you help with a seat assignment 5 people flight 694 phx to hnl seats are split up anything you can do will be great
9730,neutral,follow dm please
9731,negative,have dinner reservations in a few minutes and i ve been trying to get through to you since breakfast onholdwith
9732,negative,clt please send more than one cust svc rep to your cust svc counter to assist a line out the door
9733,negative,help i ve been on hold for almost two hours trying 2 get home
9734,negative,please call late flightr is not acceptable but neither is being on hold for 5 hrs onholdwith
9735,negative,been sitting at gate for over 25 min on us 728 what gives
9736,negative,i wouldn t need to wait on hold for 6 hours if your website worked correctly please respond
9737,negative,how do i get an answer to my question holding for hours after 6x getting your message just said you aren t taking calls
9738,negative,why the hell did you overbook a plane when you knew people actually had seat assignments inept uncaring piss poorplanning
9739,negative,worst service at reagan int i rarely post about a company or service but i am so annoyed not weather relate flightd incompetence
9740,negative,been on hold for more than 2 5 hours this after not getting through after 2 hours on hold this morning with no answer help
9741,negative,so far my phone wait time is longer than abcnetwork s oscars coverage whatcustomerservice
9742,negative,chairman preferred with 518 758 lifetime miles what is my us air reward no firstclass upgrades on americanair as usual
9743,neutral,flight 4424 operated by flyrepublicair n813ma arrives at flytpa following flight from reagan national
9744,negative,45 minute delay for take off and 30 minute wait for checked bags really
9745,negative,i ve been on hold for 90 minutes this is terrible customer service you messed up my reservation
9746,negative,why won t you help me get my luggage back i m a teen trying to change the world in dc flight5182 usairways
9747,negative,southern hospitality luggage delivery service from sav is awful great delivering empty promises but not luggage 8hrs amp waiting
9748,negative,1st flight with u s air plane had mechanical issues wait 90 minutes for help from customer service no help from management
9749,negative,flight missed due to mech issue no food voucher transported to different airport no rental reimbursement
9750,negative,phlairport we don t control your stupidity in not having room to have a plane come in you better not mess with us now
9751,negative,interesting you forward compliments but never complaints world s worst airline goingforgreatnessfail
9752,negative,flights 4500 and 403 delayed for crew availability what gives i m getting to tpa 2 5 hrs past my scheduled arrival
9753,negative,how is it that the airport dca and the airline mess up our flights but also will not cover our hotel costs at dca for 5hrs
9754,negative,in line for 90 min after mechanical issues caused me to miss my flight 1 rep for 20 upset people
9755,positive,the entire flight crew on flight 738 from bos to phl is doing a wonderful job and making this experience not totally suck
9756,negative,can someone please answer my call i have been waaaaaaiting
9757,negative,is holding my luggage hostage from flight 5182
9758,positive,americanair major issues getting out of boston but your crew has been exceptional let s see how things roll out in philly
9759,negative,i ve been trying to set up my phone interview for days and hoping the position won t be filled because the link doesn t work usairways
9760,neutral,do you have an email
9761,negative,had to call to find out i was re booked tomorrow why ask for my number an email for day of info
9762,negative,us airways don t care for customers worst experience today with us airways myself wife and toddler
9763,positive,thanks to the whole team for an on time flight despite inclement weather
9764,negative,your rude staff said i don t care that we are out of market place food you re going on vacation and i have to work nice huh
9765,neutral,what happens to frequent flyer miles earned once merger is complete with aa
9766,negative,got off stand by list and on earlier flight to dca what is the status of my checked bag was supposed to be on 4047 thanks
9767,negative,why does this flight keep getting delayed late flightr and late flightr
9768,neutral,any idea when flight 703 to miami will leave for a second time
9769,negative,i have contacted them but only got an automated response that won t give me the code
9770,neutral,gregwallace66 yea they will give you 5 cents on the dollar
9771,negative,really a letter that says you will discuss serving drunks more drinks that doesn t help the current situation
9772,positive,great thank you
9773,negative,americanair so does that mean americanair that you might care about my sister be assaulted on one of your flights
